date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:46	233/233	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2016%20Mar%202021%2006:12:41%20GMT	https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.fc7d4.delayed	(from https://accounts.google.com/ServiceLogin?hl=ID&flowName=GlifWebSignIn&flowEntry=ServiceLogin)
13:12:47	231/231	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2016%20Mar%202021%2006:12:43%20GMT	https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.108e05.delayed	(from https://accounts.google.com/ServiceLogin?hl=ID&flowName=GlifWebSignIn&flowEntry=ServiceLogin)
13:12:47	199/199	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	(from https://accounts.google.com/ServiceLogin?hl=ID&flowName=GlifWebSignIn&flowEntry=ServiceLogin)
13:12:48	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.12c7d4.delayed	(from https://accounts.google.com/signin/usernamerecovery?flowName=GlifWebSignIn&hl=id)
13:12:48	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.138e05.delayed	(from https://accounts.google.com/signin/usernamerecovery?flowName=GlifWebSignIn&hl=id)
13:12:49	52328/52328	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:12:45%20GMT	https://accounts.google.com/signin/usernamerecovery?hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/signin/usernamerecovery0cf2.html	(from https://accounts.google.com/ServiceLogin?sacu=1&hl=ID&rip=1)
13:12:49	249/249	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2016%20Mar%202021%2006:12:45%20GMT	https://accounts.google.com/AccountChooser?hl=ID&rip=1	C:/Users/User/Downloads/Compressed/google/accounts.google.com/AccountChooser.15b1e8.delayed	(from https://accounts.google.com/ServiceLogin?sacu=1&hl=ID&rip=1)
13:12:49	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id&privacy=true	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.16c7d4.delayed	(from https://accounts.google.com/ServiceLogin?sacu=1&hl=ID&rip=1)
13:12:49	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=ID&hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/TOS.178e05.delayed	(from https://accounts.google.com/ServiceLogin?sacu=1&hl=ID&rip=1)
13:12:51	372383/372383	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2006:12:46%20GMT	https://accounts.google.com/SignUp?hl=id	C:/Users/User/Downloads/Compressed/google/accounts.google.com/SignUp0cf2.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:51	291/291	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/ui/v1/dialog/close-x.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/ui/v1/dialog/close-x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:52	29532/29532	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/flags4.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/flags4.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:52	115/115	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/ui/v1/disclosure/grey-disclosure-arrow-up-down.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/ui/v1/disclosure/grey-disclosure-arrow-up-down.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:53	84/84	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/phone-input-arrow.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/phone-input-arrow.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:53	6302/6302	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_325x24_1x.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/accounts/ui/wlogostrip_325x24_1x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:54	76165/76165	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/signup/devices_1x.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/accounts/signup/devices_1x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:54	14444/14444	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_325x24_2x.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/accounts/ui/wlogostrip_325x24_2x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:57	426/426	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://ssl.gstatic.com/accounts/ui/refresh_white.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/accounts/ui/refresh_white.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:57	1619/1619	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Mar%202021%2006:12:51%20GMT	https://accounts.google.com/+/	C:/Users/User/Downloads/Compressed/google/accounts.google.com/+/index.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
13:12:57	267325/267325	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/signup/devices_2x.png	C:/Users/User/Downloads/Compressed/google/ssl.gstatic.com/accounts/signup/devices_2x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=ID)
